Pname,PNumber,PTitle,PDescription,AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,Round,ApprovalDate,OntarioCommitment,TotalProjectCosts,Keyword,OIA_Area,project_id,institution_id
Post-Doctoral Fellowship,PD09-04-00 15,"New environmental techniques and technologies for restoring redside dace, an endangered species of freshwater fish in Ontario","This proposal will employ cutting-edge techniques and technologies to develop protocols for the cryopreservation of redside dace sperm (genetic material) in order to perform ""genetic rescue""  (increase in fitness due to the influx of new genes) of populations in the future.",4.9,,14400,99998,4,26-Nov-09,"$50,000","$100,000",,Advanced health technologies,103,12
Post-Doctoral Fellowship,PD09-04-00  16,"Efficient indexing, retrieval and contect analysis for H.264/AVC videos","Improving the efficency of organizing, storing, searching and displaying H.264/AVC video data.",10,,20600,99998,4,26-Nov-09,"$50,000","$100,000",,Not Applicable,104,21
Post-Doctoral Fellowship,PD09-04-00  17,,This research focuses on CRC Watershed Analysis and Modeling on research examing the relationships between the spatial and temporal variability in headwater streamflow generation and changing environment conditions.,3.1,,18000,99998,4,26-Nov-09,"$50,000","$100,000",,Bio-economy and clean technologies,105,18
Post-Doctoral Fellowship,PD09-04-00  18A,Developing Quantitative Approached to the Self Assesmblt of  Nanostructured Marterials,"Will expand towards predicatable, highly controllable, self-organziation of NPs in Structures with a higher complexity.",10,,18000,99998,4,26-Nov-09,"$50,000","$100,000",,Not Applicable,106,3
Post-Doctoral Fellowship,PD09-04-00  18B,Cellular Mechanisms mediating opioid- induced respiratory depression,This research aims to characterize a new and unique cellualar pathway in preBotC neurons that mediates opioid-induced respiratory depression.,4.9,,41300,99998,4,26-Nov-09,"$50,000","$100,000",,Advanced health technologies,107,3
Post-Doctoral Fellowship,PD09-04-00  18C,,Examines children's judgement of tattling and how it differs from their judgment of more serious violations.,8.8,8.7,22100,22600,4,26-Nov-09,"$50,000","$100,000",,Not Applicable,108,3
Post-Doctoral Fellowship,PD09-04-00 2B,,"Focus of the project is to identify and characterize the emerging pathological, biological and pharmaceutical contaminants in hospital wastewaters and to study microbial diversity in hospital waters.",3.1,4.9,18000,42800,4,26-Nov-09,"$50,000","$100,000","water, wastewater",Pharmaceutical research and manufacturing,109,1
Post-Doctoral Fellowship,PD09-04-00  18E,Computational Models of Low Communication complexity,Focues on communication as a resource-,8.8,,20600,99998,4,26-Nov-09,"$50,000","$100,000",,Not Applicable,110,3
Post-Doctoral Fellowship,PD09-04-00 12A,,"To address the issues with sensor networks- 1 How to design an appropriate network architechture that can increase the overall system efficiency and reliability. 2.  How to place the senor nodes in the network such that data can be properly communicated using minimal resources 3. How to develop reliable communication schemes so that the information generated in the senor nodes reaches that user timely, and in a robust way even in the presence of the failures of some systenm componets",10,,11800,99998,4,26-Nov-09,"$50,000","$100,000",,Not Applicable,111,11
Post-Doctoral Fellowship,PD09-04-00  18 G,Cancer Risk over Two Generations: Epigenetic and Epidemiologic Factors in Families who carry a BRCA mutation,Studies the risks for cancer over two or more generation in BRCA families.,4.2,4.9,14400,14500,4,26-Nov-09,"$50,000","$100,000",,Advanced health technologies,112,3
Post-Doctoral Fellowship,PD06-01-00 18,Combating invasive alien species,"Invasive alien species (IAS) like zebra mussels and Asian long-horned beetles are costing OntarioÂ’s agriculture, fishery and forestry sectors billions of dollars a year in lost production. At the York Institute for Research and Innovation in Sustainability Dr. Andrea Smith is identifying current and potential IAS threats and evaluating how well weÂ’re dealing with them Â– and how prepared we are for future risks. Her work will lead to strategies on how best to combat the growing threat of IAS.",3.7,,14100,99998,1,01-Dec-06,"$50,000","$100,000",rural,Bio-economy and clean technologies,113,6
Post-Doctoral Fellowship,PD06-01-00 18B,To develop YIHRÂ’s organizational capacity for program evaluation focusing on social inclusion.,,4.7,,22600,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,114,6
Post-Doctoral Fellowship,PD06-01-00 18A,Aging effect on vision and Improving vision in people with maculopathy,"Aging has been a significant challenge for Canadian goveronment since the beginning of the 21 centrury1. People with maculopathy, the most common cause of vision loss in Canada,2  lose their central vision, which is necessary for everyday activities like reading, watching television and driving. Maculopathy is progressive and treatment options are very limited. At the Centre for Vision Research at York University Dr. Ming Mei is using psychophysics and functional MRI to learn more about aging and how maculopathy advances. What she discovers could help improve life quality of seniors and lead to new treatments to maculopathy, giving new hope  to the hundreds of thousands of Canadians with maculopathy.",4.7,,41100,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,115,6
Post-Doctoral Fellowship,PD06-01-00 17,Controlling reproduction of the invasive round goby,"The round goby is an aggressive foreign fish thatÂ’s invaded all five of the Great Lakes, seriously impacting the eco-system by feeding on the young of native fishes. Disrupting the round gobyÂ’s reproduction is the focus of an international research group, led by biologists at the University of Windsor. Dr. Yogesh Katare is investigating how to isolate the male reproductive pheromone, the chemical released by the male that attracts the female. This research could lead to new strategies for controlling the round goby Â– and help with fisheries management.",3.7,,14900,99998,1,01-Dec-06,"$50,000","$100,000",,Bio-economy and clean technologies,116,12
Post-Doctoral Fellowship,PD06-01-00 16,Developing a method for accurate prediction of metal toxicity,"While researchers know that metals can be toxic for aquatic and other organisms, they also know that toxicity depends on both the metal and the local water chemistry Â– and that makes predicting the effects of various metals very difficult. Biotic Ligand Model (BLM) Â– a mathematical model - has been developed in the past decade to predict toxicity of dissolved metals, but its abilities are limited and it needs further development. ThatÂ’s the focus of research being done by Laurier UniversityÂ’s Dr. Cristina Gheorghiu. Improving the BLM could ultimately lead to the creation of more effective regulatory guidelines.",3.1,,14000,99998,1,01-Dec-06,"$50,000","$100,000","water, wastewater",Bio-economy and clean technologies,117,15
Post-Doctoral Fellowship,PD06-01-00 15F,Improving fuel cell performance,"Fuel cells are electrochemical devices that can produce electrical power from a wide range of fuels, including hydrogen, natural gas, propane, biogas and conventional liquid fuels like kerosene, gasoline and diesel. And they do it cleanly, quietly and highly efficiently. But to make them commercially viable, fuel cells must be more reliable, more durable and more cost-effective. University of Western Ontario researcher Dr. Gaixia Zhang is focused on using nanotechnology to improve fuel cell performance Â– something that could give Ontario companies an important leg-up in the fast growing fuel cell market.",7.4,,11100,99998,1,01-Dec-06,"$50,000","$100,000",,Bio-economy and clean technologies,118,11
Post-Doctoral Fellowship,PD08-03-00-05,,development of low cost highly efficient electrically small antennas that simultaneously covers multiple frequency bands for use in technologies such as long term evolution LTE and WiMax,5.6,,11600,99998,3,05-Dec-08,"$50,000","$100,000",,Digital media and information and communications technologies,119,3
Post-Doctoral Fellowship,PD06-01-00 15D,Developing new air and water cleaning technologies,"Photocatalysis (the acceleration of a photoreaction in the presence of a  catalyst) is an attractive green technology for cleaning our air and water. ItÂ’s limited, though, because it requires UV light. To overcome this limitation, Dr. Wing-Kei Ho at the University of Western Ontario proposes to develop new visible-light catalysts that will take photocatalysis to the next level. In the process, heÂ’ll help keep OntarioÂ’s environment industry at the leading edge.",3.1,,10600,99998,1,01-Dec-06,"$50,000","$100,000",climate change,Bio-economy and clean technologies,120,11
Post-Doctoral Fellowship,PD06-01-00 15E,Exploring how and why fibrosis develops,"Fibrosis is the formation of excess scar tissue as a result of injury or long-term inflammation. There is no effective treatment or cure for fibrosis and it inevitably leads to death. At the University of Western Ontario Dr. Mohit Kapoor is investigating the mechanisms of fibrosis, with the goal of uncovering why some people develop it and others donÂ’t. What he discovers may lead to new, more effective therapies for it.",4.1,,40900,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,121,11
Post-Doctoral Fellowship,PD09-04-00  18D,,Aims to generate novel ingsights into celluar functions of this important class of regulators by investigating the microevolution of miRNAs.,4.9,,14400,99998,4,26-Nov-09,"$50,000","$100,000",,Advanced health technologies,122,3
Post-Doctoral Fellowship,PD09-04-00 5B,Structure-function Studies of Pseudomonas aeruginosa Type IV Prepilin Peptidase PilD,Pseudomonoas aeruginosa infections- contribute to the early stage of therapeutic development,4.1,,40100,40900,4,26-Nov-09,"$50,000","$100,000",,Advanced health technologies,123,17
Post-Doctoral Fellowship,PD06-01-00 12L,"Uncovering the link between herceptin, chemotherapy and heart failure","Patients with breast cancer are routinely tested for the presence of a protein known as HER2, which accelerates tumor formation. Those with HER2 Â–20-30 per cent of breast cancer patients Â– may be candidates for the drug trastuzumab, commonly known as herceptin. But while herceptin, in combination with chemotherapy, can increase the survival rate, one in four patients develop heart failure. Why that happens is a question University of Toronto researcher Dr. Krishna Singh hopes to answer. What he discovers could lead to new strategies for protecting the heart while receiving treatment.",4.1,,41800,99999,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,124,3
Post-Doctoral Fellowship,PD06-01-00 12M,Predicting who is at risk of getting colorectal cancer,"While colorectal cancer (cancer of the large intestine) is highly treatable if caught early, it often doesnÂ’t give any clues to its presence until itÂ’s at an advanced stage Â– and thatÂ’s helped to make it the second deadliest cancer in Canada.  But Ontarians, who have one of the highest rates of colorectal cancer in the world  , may soon have an important new weapon in the fight against the disease, thanks to research being conducted at the University of Toronto and Ontario Institute for Cancer Research (OICR). By applying a multidisciplinary approach that draws on recent advances in statistics, bioinformatics, data mining and machine learning, Dr. Niloofar Arshadi, working together with the project CaRE at OICR, hopes to identify the genetic predictors that confer an increased risk of colorectal cancer, increasing the chances for early detection and treatment.",4.1,,40800,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,125,3
Post-Doctoral Fellowship,PD06-01-00 12N,Developing the next generation of heart valve replacements,"Heart valve disorders Â– problems with the valves that regulate the flow of blood through the heartÂ’s four chambers Â– are among the most common cardiovascular diseases in adults and a frequent consequence of hereditary heart defects in children. Although heart valves can be replaced, current methods are far from ideal. At the University of Toronto Dr. Morakot Lithitpanichkul is focused on using stems cells to develop an engineered heart valve thatÂ’s capable of the same biomechanical function as a natural valve, the ability to repair itself and, in the case of children, grow with the rest of the heart. If successful, Dr. LithitpanichkulÂ’s work will lead to a much better treatment for heart valve disorders.",3.1,,10600,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,126,3
Post-Doctoral Fellowship,PD06-01-00 12O,Searching for the origin of the universe,"Where did our universe come from and where is it going? Those are questions University of Toronto researcher Dr. Renbin Yan hopes to help answer. Using new telescopic techniques, heÂ’s cataloguing clusters of galaxies out to 10 billion light years away. By analyzing the properties of the galaxies in the clusters he aims to discover how galaxies form and evolve with time and how their evolution is affected by their environments.",9.1,,12600,99998,1,01-Dec-06,"$50,000","$100,000",,Not Applicable,127,3
Post-Doctoral Fellowship,PD06-01-00 13,Creating an on-site testing system for radiation in waters,"Contaminated water as a result of radiation is a worldwide problem that threatens the health of humans, plants and fish. Current testing techniques are costly, time consuming and not as accurate as they could be because they involve getting samples and taking them back to a lab. Trent University researcher Dr. Weijia Li aims to change that. HeÂ’s developing an on-site, rapid, real-time, highly sensitive, reliable and automated monitoring system. If successful his system could help lead to better control of contaminant discharges Â– and help OntarioÂ’s environmental industry in its quest to protect the health of the province and the planet.",3.9,,13300,99998,1,01-Dec-06,"$50,000","$100,000",,Bio-economy and clean technologies,128,9
Post-Doctoral Fellowship,PD06-01-00 14A,Taking computer mathematics to the next level,"Doing mathematics on a computer has always been a challenge, because mathematicians typically use hand-drawn equations which are hard to integrate with  todayÂ’s computer algebra systems which use different formats and syntaxes. Researchers at the University of Waterloo have developed a system that allows for hand-drawn equations. The challenge now is to refine it so that users can take full advantage of the power of computer algebra systems. ThatÂ’s the goal of research being done by Dr. Andrea Bunt.",7.14,,11600,99998,1,01-Dec-06,"$50,000","$100,000",,Digital media and information and communications technologies,129,10
Post-Doctoral Fellowship,PD06-01-00 14B,Toward realizing the potential of quantum computing,"A major goal of today's scientists is harnessing the ability of subatomic particles to be in more than one state at one time. If successful, this could accelerate information processing to speeds we can only dream about. Quantum computing, as this is called, is in its infancy Â– and Ontario researchers, like WaterlooÂ’s UniversityÂ’s Dr. Bill Coish, are at the forefront of its development. ",,,,,,,,,,,,
,,,,,,,,,,,,,,,
",5.7,,12300,99998,1,1-Dec-06,$50,000"",""$100,000"",,Digital media and information and communications technologies,130,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD06-01-00 14C,Techniques for Monitering Steel Strands in Post-Tensioned Concrete Structures,""Many of todayÂ’s reinforced concrete structures are post-tensioned: a technique in which a duct is embedded in the concrete through which twisted Â“ropeÂ” strands of high strength steel are inserted and stretched in tension.  The duct is then filled with grout to protect the steel.  The steel under tension puts the concrete in compression and, thereby, increases its resistance to cracking.  This allows structures to be built which are thinner, longer, and stronger than conventionally reinforced structures and so reduces the amount of concrete and steel used.  However, monitoring the condition of the steel strands once they are in place is a big challenge Â– one being tackled by Dr. Shahzma Jaffer at the University of Waterloo. If she is successful, her monitoring technique could be adopted by builders world-wide."",2.2,,10200,99998,1,1-Dec-06,""$50,000"",""$100,000"",,Not Applicable,131,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 1,The effects of prolonged cold exposure on human physiology and cognitive function,Examine the physiological (shivering endurance) and psycological (cognitive perfomance effects associated with prolonged cold exposure (5 degress for 24hrs),4.1,,15100,42600,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,132,4",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 2A,The ecology or Ottawa's stormwater detention ponds,Investigates stormwater detention ponds as a sustainable method of floodwater control. Looks at the individual ponds and how those ponds interact within the urban landscape.,3.1,,13300,13400,4,26-Nov-09,""$50,000"",""$100,000"",,Bio-economy and clean technologies,133,1",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 12C,,""Examine the regulatory environment for new technologies and tools in agricultural  biotechnology in Ontario, Canada. i.e Examine best practice IPR management  for cutting-edge biotechnology research."",6.1,,10300,11800,4,26-Nov-09,""$50,000"",""$100,000"",bio-economy,Bio-economy and clean technologies,134,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 5A,,Investigate dophant and defect distribution and concentrations in silicon. Consider sinlge atom dection of both heavy and light dopants and dopant profiling in shallow-junctions formed by ion implantation of various impurities into silicon,4.1,,13000,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,135,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 12B,,Determine- What type and intensity of exercise is most effective in preventing or delaying the onset of type II diabetes and attendant cardiovascular dysfunction in susceptible individual. 2) What type and intensity of exercise is most effective in reversing the cardiovascular effects of type II diabetes.,4.1,,40500,42500,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,136,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 5C,,Develop novel silicone-based material suitable for the delivery of drugs to front of the eye. Ultimately developing fundemantal understanding of the properties necessary for extended drug deliery from silicone hydrogel contact lens materials.,4.9,,40900,18000,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,137,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 5D,,Improve quality of microwave imaging for breast cancer diagnosis by augmenting the system hardware as well as the post-processing algorithims,4.1,,14500,42800,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,138,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 6,,This research studies quantum mechanics and attempts to include gravitation into the quatum field theory by focusing on the spin foam models.,10,,18000,18000,4,26-Nov-09,""$50,000"",""$100,000"",,Not Applicable,139,13",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 7A,Innovative Structural Applications of Hempcrete as  Bio-material in a Clean and Sustainable Construction Technology,Studies innovative applications of hempcrete as a biomaterial in a clean and sustainable construction technology. This reseach program looks for some innovative and practical tecniques based on the concept of confinement to increase the compressive strength and other mechanical properties of hempcrete.,2.8,,10800,12000,4,26-Nov-09,""$50,000"",""$100,000"",bio-economy,Bio-economy and clean technologies,140,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 7B,Computational modeling of image-guided needle-based surgery,This research project focuses on computational modeling of image-guided needle-based surgery.  It aims to get a better understanding of the ergonomic and cognitive aspects of surgical navigation to enable targeted development of systems for specific clinical applications.,4.1,,40001,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,141,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 8,,Research plan best outlines with bio-economy and clean technologies. The project seeks to investigate the magnitude of carbon and nitrogen greenhouse gas losses to the atmosphere from aquatic ecosystems and the biological and physio-chemcial processes that control these fluxes.,3.1,,10001,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Bio-economy and clean technologies,142,9",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 9,,The purpose of the research is to apply sensor array and statistical signal processing techniques for the development of new design tools in ultrasonic non-destructive testing  (NDT) of nuclear power plants and systems therein.,5.1,,13100,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Bio-economy and clean technologies,143,19",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 10A,Optical Fibre Biosensors for Multi-parameter Sensing in Cancer Tumours,""Optical Fibre Biosensors for Multi Parameter Sensing in the Cancer Tumours- Focuses on the development of optical fibre biosensors for the simultaneous measurement interstitial fluid pressure, hypoxia, and acidosis  in tumour tissues"",4.1,,42800,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,144,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 10B,,Focused on how the central nervous system controls and interpets sensory information for sensorimotor behaviour and the importance of this in contributing to altered motor patterns  following brain injury.,4.1,,41000,99998,4,26-Nov-09,""$50,000"",""$100,000"",,Advanced health technologies,145,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 10C,An evaluation of mechanisms regulating the photo-catalytic removal of emerging watervorne organic contaminants by TiO2/Ag nanocomposite membranes.,Investigate the physical and chemical mechanisms behind the removal of organic contaminants from the water by newly developed TiO2/Ag nanocomposite membranes (NCMs).,7.4.2,3,13100,10600,4,26-Nov-09,""$50,000"",""$100,000"",,Pharmaceutical research and manufacturing,146,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD06-01-00 12K,Assessing coronary care diets,""Can people eat their way to lower cholesterol, reducing their risk of coronary heart disease? New research seems to indicate they can, using something called the Â“Portfolio DietÂ”. ItÂ’s rich in soy protein, almonds, plant sterol enriched margarines, oats and barley and preliminary studies show that people who ate these foods in combination reduced their cholesterol levels by as much as 35%. But questions remain regarding the Portfolio Diet, among them: is the diet really more effective than a conventional coronary care diet? How important is instruction and follow-up to success? To what extent does the nature of the dietary carbohydrate influence coronary heart disease risk? Will the more complete cardiovascular protective diet contain in its protfolio consideration of the rate at which carbohydrate is absrobed and the nature of the sugars and availabve carbohydrate in the diet?  These are questions being addressed by Dr. John Sievenpiper at the University of Toronto."",4.5,,15100,99999,1,1-Dec-06,""$50,000"",""$100,000"",,Advanced health technologies,147,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD09-04-00 3,,""This research tests the hypothesis that substrate nutrients control forest prodution for boreal forests belowground, particularly for fine-root biomass."",6.3,,10400,99998,4,26-Nov-09,""$50,000"",""$100,000"",bio-economy,Bio-economy and clean technologies,148,20",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 3B,,""the purpose of the project are to develop efficacious prophylactic strategies for control of AIV-Avian Influeza Viruses, to reduce the risk of transmission of the virus from chickens to humans, to develop novel vaccines for targeting AIV antigens to MHC antigens presentation compartments, to evaluate the efficacy of these vaccine in providing protection against adn to evaluate the effects of Toll-like ligands for enhancement of immune response to AIV antigens"",4.2,,40100,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,149,2",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-010C,stuctural and functional analysis of virulence associated clostridium perfringens enzymes: insights into bacterial pathogenesis,,4.1,,40100,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,150,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-0 10B,fluoroscopy poste calculation for dynamic prostate branchytherapy dosimetry,,4.3,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,151,7",,,,,,,,,,,,,,,
