Pname,PNumber,PTitle,PDescription,AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,Round,ApprovalDate,OntarioCommitment,TotalProjectCosts,Keyword,OIA_Area,project_id,institution_id
"Post-Doctoral Fellowship,PD07-02-00 9D,research and development of a compact and low cost continuous wave source as well as apulsed THz source for applications in a THz imaging system.,,4.3,,11000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,152,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 9C,""massively multiuser virtual environmentas and online gaming: information and communications technologies for a """"real"""" e-society"",,8.8,,11800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,153,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 9B,understanding of macrophage biology during both normal physiology and pathophysiology as it relates to cardiovascular disease.,,4.2,,41200,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,154,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 9A,beheviour of atoms in strong laser fields,,1.7,,12400,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,155,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 8,""investigate forensic animal necrophagy in southern ontario and to identify scavengin species, feeding parterns and taphonomic effects on decomposition rates."",,10,,14900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,156,19",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 7,Leisure landscape as anachronistic space: the french river heritage river system,,10,,13900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,157,18",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 6C,elucidating the central role of GSK-3 in embryonic stem cell self renewal and differentiation,goal is to be able to use human embryonic stem cells for cell based regenerative therapies for human disease and injury,4.2,,40100,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,158,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 6B,,development of photovoltaics based on III-V semiconductor nanowire Diodes. This solar cell project is intended to first increase the conversion efficiency and second to take advantage of the properties of nanowires to provide a reduction in manufacturing cost while also easing device deployment issues,5.7,,10800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Bio-economy and clean technologies,159,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 6A,the impacts of global warming on freshwater ecosystems: insights from a model species in a model lacustrine environment,the research will  use individula level traits as barometers for forecasting the effects of climate change at both individual and population levels in fresh water lakes.,3.7,,10600,99998,2,1-Dec-07,""$50,000"",""$100,000"",climate change,Bio-economy and clean technologies,160,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5F,impact of residential schools on aboriginal nutrition,,4.7,,40600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,161,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 4,effective forest management plans from C sequestration point of view,,6.3,,10400,99998,2,1-Dec-07,""$50,000"",""$100,000"",rural,Bio-economy and clean technologies,162,20",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-0 12B,characterization of phage-based alternatives to antibiotics,,4.1,,40900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,163,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 3A,,active participation of beamlline development - assisting in the construction and commissioning of a new high resolution nuclear microprobe in the department of physics at the university of guelph.,5.7,,11500,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Bio-economy and clean technologies,164,2",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 2B,""geometric spanners, undestanding geometric structures and the impact they have in different application areas"",,10,,12100,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,165,1",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 2A,montecarlo dose calculation algorithm for bachytherapy,,4.9,,41300,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,166,1",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 1,brain maturation and personality interaction in adolescents and youth,,4.7,,40800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,167,4",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-01,cosmology with emphasis on the theory of inflation and cosmic strings,,9.5,,12600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Not Applicable,168,13",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-02,textual and asset visualization in humanities and social sciences,,2.5,,31000,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Digital media and information and communications technologies,169,5",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-03,pre orders for new products considering supply uncertainty and strategic consumers,,8.3,,22300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,170,15",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-05C,,goal of project is to enhance Model driven engineering (MDE) with the usable theoretical paradigm,6.4,,12400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,171,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-04B,""DNA based diagnostics of eukaryotic parasites, pathogens, and disease vectors."",,4.2,,14500,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,172,2",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-05D,predictable air pollution via parallel computer simulation of  Bio-Jet fuel combustion.,,3.2,,11400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,173,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-05E,multifunctional nanotechnology for tumor selective radionuclide delivery to breast cancer,,4.1,,42300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,174,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 5,design and synthesis of novel class of 4-aminoqunoline analogs for anti-breast cancer activity,,4.2,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,175,16",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12N,""study of how emotional trauma creates biological marks that change the way some genes are expressed, and how they may be erased."",,4.1,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,176,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00-19,cosmology - the study of origins and structure of the universe,,9.5,,12600,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Digital media and information and communications technologies,177,13",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 18C,Canadian Trends in Social Exclusion,,8.8,,22600,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,178,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 18B,Structural and regulatory characterization of the mammalian equilibrative nucleoside transporter one (ENT1),,10,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,179,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 17,new environmental technologies for field studies of sexual selection under social constraints,,3.7,,14900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,180,12",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 15D,,""aim of research is to design, make and test highly active and selective catalysts for reactions germane to the synthesis of chiral compounds of pharmaceutical relevance. There is strong alignment with the materials and advanced manufacturing sector."",7.2,,10800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Pharmaceutical research and manufacturing,181,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 15C,,use of electrical stimulation therapy to treat patients and accelerate wound healing for people with Spinal Cord Injuries and Diabetes.,4.3,,41000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,182,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 15B,,the plan aligns with the life sciences sector as the PDF will learn new skills to examine proteins implicated in cancer and parkinson's disease. The PDF will examine a group of specialize molecules that are involved in the ubiquitination pathway and will determine the 3 dimensional structures of these proteins in the presence and absence of the degradation protein in order to understand how the E2 enzymes carry out their function in the cell.,4.2,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,183,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 15A,,to combine reuroimaging and behavioural methods to investigate the correspondence between visuospatial processing the recruitment of different neural pathways. The research will advance the understanding of visuomotor precessing in healthy subjects and the nature of the visuomotor deficits in neurological patients.,4.1,,41000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,184,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 14C,""study of probibalistic combinatorics, asymptotic enumeration, graph theory, random structure and applied probability."",,10,,12200,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,185,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 14B,""study of miniaturization and reconfiguration of microwave components using low temperature co-fired ceramics, micro-electro mechanical systems and advanced nano technology technique."",,10,,11200,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,186,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 14A,The persistence and fate of pathogenic bacteria in Grand River.,""to quantify the persistence of fecal indicators in different lotic environments within the Grand River and in different seasons, to compare the persistence of indicator species to indigenous bacteria and to pathogens, and to identify the major processes involved in removing bacteria from the water."",3.4,,13900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Bio-economy and clean technologies,187,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-0 11,Dynamics modeling and simulation of robotic percussive riveting,,10,,11700,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,188,21",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12O,providing performance gurantees for database-driven web applications,,10,,11800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Digital media and information and communications technologies,189,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-0012A,""asymetric hidrogenation using """"frustrated lewis pairs"""""",,5.7,,11400,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Bio-economy and clean technologies,190,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12M,predicting academic outcomes for children and adolescents with inattentive behaviour: bridging mental health and education using bioecological systems approach,,4.7,,40800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,191,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12L,""regional variations if IAPs plays role in GBM - Glioblastoma multiforme (brain tumour) rsistance to hypoxia or therapeutic (radiation, chemotherapy) induced apoptosis"",,4.1,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,192,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12K,a high performace language and matching engine for complex event processing,,10,,11800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Digital media and information and communications technologies,193,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12J,""disgning surface plasmon devices using transformation optics for potential implementation of novel, highly compact optical devices."",,10,,11500,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Not Applicable,194,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12I,nanomedicine in cancer chemotherapy: targeted delivery of anticancer drugs using self assembling peptide nanocarriers,,4.2,,40900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,195,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12H,""the mitochondrial Rhomboid protease regulates the activiy of the Parkinson's disease linked gene, Omi/HtrA2"",,4.2,,41000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,196,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12G,study of the role of P2X receptors in orofacial pain and indentify the mechanisms by which glial cells may influence purinergic and glutamatergic processes in trigeminal brainsteam nociceptive transmission.,,4.1,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,197,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12F,""investigate the cellular mechanisms by which 'responsive element binding protein' in memory formation imparts competitive vigour integrating molecular, cellular, imaging, behavioural, and electrophysiological approaches."",,4.3,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,198,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12E,Mechanisms of Smad2/3 signaling in human embryonic stem cell self renewal,,4.1,,40001,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,199,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12D,network properties of memory in the brain,,4.7,,40800,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,200,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 12C,Dynamics of Single-molecule surface reactions,,4.1,,13000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,201,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-05B,,fabrication of core/shell colloidal quantum dots (CQD's) and their integration into solution processed phtovoltaic (PV) devices,5.7,,12400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,202,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00 13,""heavy metal isotopes (Zn, Cu especially Hg) in aqueous environmenta"",,3.10,,13900,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Bio-economy and clean technologies,203,9",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 18B,real-time image-based needle path adjustment for prostate brachytherapy,,4.3,,41600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,204,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 13,analysis of privacy and security risks associated with the use of radio frequency indentification in order to enforce policies and procedures in isolation units,,2.5,,11800,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,205,19",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 14,the onset prediction of an abnormal crowd behaviour in a video,,8.8,,42600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Digital media and information and communications technologies,206,12",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 15A,nanostructured silicone and tin based porous electrodes for lithium ion batteries,,5.6,,11200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,207,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 15B,to understand the development of the brain mechanisms which uderlie dyscalculia as well as those which cause the high rate of coocurrance of dyscalculia and dyslexia.,,4.1,,42400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,208,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 15C,N/a,to develop innovative methods for the analysis of time-to-event (TTE) outcomes arising for community intervention trials resulting in contributions to statistical literature as it will present novel statistical methodologies and promote further research in the area.,4.9,,12200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,209,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 15D,""development of a new analytical methodology for the study of enzymatic function, specifically for the study of kinase protein activity."",,4.1,,42300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,210,11",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 16,lynx habitat selection and metapopulation dynamics across their geographic range: model development and validation,,3.7,,14900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,211,9",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5G,goal is to use upconverting (UC) nanoparticles as agents for in vivo cancer imaging and cellular organelle tracking.,,4.3,,11000,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,212,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 17B,development of advanced energy-efficient suspensions for future road vehicles,,5.6,,11200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,213,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 12C,regional modeling of the arctic,,2.7,,13500,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Not Applicable,214,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 18A,cellular localization and protein:protein interactions of novel phosphoenolpyruvate carboxylase isoforms in developing versus germinating castor oil seeds,,3.10,,14300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,215,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 17A,to investigate the mechanisms underlying attention based somatosensory modulation both in healthy human subjects and in stroke patients,,4.2,,42300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,216,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 18C,phase inversion for polymer production: using natural driving forces for the manufacturing of clean polymer dispersions,,6.4,,11100,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,217,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 19A,network dynamics of noveltly detection,,2.5,,5000,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,218,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 19B,green aproaches to fluorocarbon derivatives using transition metal catalysis,,6.4,,10600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,219,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 19C,multiparameter sensing for on-chip flow cytometry,,4.9,,5000,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,220,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 19D,neural precursor cell mediated regeneration in the brain following a stroke,,4.1,,42400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,221,8",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00-20,Study of protein interactions,,4.1,,40001,99998,2,5-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,222,16",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-02-00-21,shaped-based object recognition in natural scenes,,4.1,,40001,99998,2,5-Dec-07,""$50,000"",""$100,000"",,Advanced health technologies,223,7",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 20,General Topology. Operators extending metric structures and real valued functions defined in on subspaces of topological spaces.,,10,,12100,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Not Applicable,224,18",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD07-17A,Digitization of objects by automated scanning,na,10,na,31000,99998,2,1-Dec-07,""$50,000"",""$100,000"",,Digital media and information and communications technologies,225,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-04,historical record linkage and longitudinal data,,10,,12200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Digital media and information and communications technologies,226,2",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5N,goal is to develop CF - cystic fibrosis iPS - induced pluripotent stem cells and optimize their differentiation into cell trypes that can be used in future patient-specific cell-based therapies and drugs screens that employ high throughput methodology,,4.2,,14500,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,227,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5H,differential detection of entamoeba by quantitative real time PCR and genotyping of entamoeba by t RNA linked STR typing,,4.2,,10900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,228,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5I,advanced body-machine interfaces for voiceless communications,,2.5,,11800,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,229,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5J,the role of micro-RNA 155 in dendritic cell phenotype and function.,,4.1,,14500,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,230,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 17C,goal is to integrate new interference technology into a biomedical imaging prototype to solve the dispersion problem in optical coherence tomography.,,4.3,,42400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,231,10",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 12B,climate policy imperatives for the canadian arctic,,3.1,,13800,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,232,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5K,use of knowledge media technologies to enable healthy lifestyles among Ontario's children,,4.7,,42400,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,233,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5M,study the anti-leukemia properties of the dring ivermectin and the mechanism in action of this drug that causes cell death,,4.3,,40900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,234,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-6,synthetic biosystems for the production of high value plant metabolites,,3.10,,14300,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,235,4",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-7A,validation of disinfection methods for water systems in canada,,3.4,,10600,99998,3,5-Dec-08,""$50,000"",""$100,000"",""water, wastewater"",Advanced health technologies,236,1",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 10C,quantitative optical molecular imaging in small animals,,4.3,,14900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,237,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 12A,Context sensitive and semantic information retrieval in health care: search beyond traditional engines,,4.8,,11800,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Digital media and information and communications technologies,238,6",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-8,,bio economy and clean technologies,3.10,,10600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,239,21",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 11,advanced a hybrid process moedeling optimization using mutivariate analysis for mining ventilation systems,,1.7,,10200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,240,16",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-9,""copper effects on fathead minnows (pimephales promelas) molecular, physiological and behavioural approached"",na,3.7,,14900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,241,20",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 10A,,the goal of the proposal is to seek design and implementation solutions that can lead to low cost and high performance optoelectronic devices for optical access networks,2.5,,11600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,242,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 10B,""to establish novel routes to synthesize, purify and validate probes for molecular imaging applications."",,4.3,,15200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,243,17",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-7B,carry-over effects of contaminants on hosts-parasites relationships,,3.7,,10600,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Bio-economy and clean technologies,244,1",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00-5L,drug development for alzheimer's disease using scyllo-inositol as a base for rational therapeutic design,,4.3,,40900,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,245,3",,,,,,,,,,,,,,,
"Post-Doctoral Fellowship,PD08-03-00 10D,study of fiber reinforced eslatomeric isolator bearings for use in construction,,2.2,,10200,99998,3,5-Dec-08,""$50,000"",""$100,000"",,Advanced health technologies,246,17",,,,,,,,,,,,,,,
